Company,Family,Variant,Generation,Aircraft_Build_Type,Launch_Year,Entry_Into_Service_Year,Production_Status,Number_of_Engines,Typical_Seat_Config,Seats,MTOW_t,Empty_Weight_t,Max_Fuel_Capacity_t,Max_Fuel_Capacity_L,Range_nm,Range_km,Max_Flight_Altitude_ft,Fuel_kg_h,Fuel_L_h,Fuel_kg_seat_h,Fuel_L_seat_h,Orders,Deliveries,Backlog,Delivery_pct,List_Price_USD_M,List_Price_Reference_Year,Technical_Data_Source,Commercial_Data_Source,Notes,,,,,
Airbus,A330,A330-200,Previous-generation twin,Wide Body,1995,1998,Ceased,2,3-class,230,242,120.5,,,7250,13429,41100,5600,7000,24.35,30.43,667,661,6,99.1,238.5,2018,Airbus A330 Family specifications,Airbus 2018 average list prices,Range/MTOW aligned to Airbus published A330-200 data,,,,,
Airbus,A330,A330-300,Previous-generation twin,Wide Body,1987,1994,Ceased,2,3-class,270,242,120.5,,,6340,11750,41100,5900,7375,21.85,27.31,776,776,0,100,264.2,2018,Airbus A330-300 specifications,Airbus 2018 average list prices,"Corrected from old CSV: 6,350 nm / 11,750 km",,,,,
Airbus,A330,A330-800,New-generation twin,Wide Body,2014,2020,In Production,2,3-class,264,251,119,,,8100,15001,41450,5000,6250,18.94,23.67,12,8,4,66.67,259.9,2018,Airbus A330neo specifications,Airbus 2018 average list prices,A330neo; 2018 list price,,,,,
Airbus,A330,A330-900,New-generation twin,Wide Body,2014,2018,In Production,2,3-class,295,253,135.5,,,7350,13612,41450,5100,6375,17.29,21.61,477,183,294,38.36,296.4,2018,Airbus A330neo specifications,Airbus 2018 average list prices,A330neo; 2018 list price,,,,,
Airbus,A340,A340-200,Four-engine,Wide Body,1987,1993,Ceased,4,3-class,230,275,129,,,7300,13520,42000,6900,8625,30,37.5,28,28,0,100,, ,Airbus historical A340 specifications,Historical industry data,Historical list price not consistently documented,,,,,
Airbus,A340,A340-300,Four-engine,Wide Body,1987,1993,Ceased,4,3-class,270,276.5,129,,,6700,12408,42000,6500,8125,24.07,30.09,218,218,0,100,238,2011,Airbus historical A340 specifications,Historical Airbus price data,2011 average list-price reference,,,,,
Airbus,A340,A340-500,Four-engine ultra-long-haul,Wide Body,1997,2002,Ceased,4,3-class,290,380,170,,,9000,16668,41600,8000,10000,27.59,34.48,35,35,0,100,261.8,2011,Airbus historical A340 specifications,Historical Airbus price data,2011 average list-price reference,,,,,
Airbus,A340,A340-600,Four-engine high-capacity,Wide Body,1997,2002,Ceased,4,3-class,350,380,177,,,7800,14446,41600,8600,10750,24.57,30.71,97,97,0,100,275.4,2011,Airbus historical A340 specifications,Historical Airbus price data,2011 average list-price reference,,,,,
Airbus,A350,A350-900,New-generation twin,Wide Body,2006,2015,In Production,2,3-class,342,283,142,,,8600,15927,43100,5000,6250,14.62,18.27,1111,601,510,54.1,317.4,2018,Airbus A350-900 specifications,Airbus 2018 average list prices,"Airbus currently publishes 8,600 nm / 15,750 km; Range_km here calculated strictly as Range_nm x 1.852",,,,,
Airbus,A350,A350-900ULR,Ultra-long-haul twin,Wide Body,2015,2018,In Production,2,3-class,161,280,142,,,9700,17964,43100,5000,6250,31.06,38.51,12,12,0,100,, ,Airbus A350-900ULR specifications,Historical industry data,ULR configuration; no separate reliably documented public list price,,,,,
Airbus,A350,A350-1000,New-generation twin,Wide Body,2006,2018,In Production,2,3-class,380,322,155.7,,,9100,16853,43100,5700,7125,15,18.75,367,113,254,30.79,366.5,2018,Airbus A350-1000 specifications,Airbus 2018 average list prices,Airbus current specifications have subsequently changed/updated design targets,,,,,
Airbus,A350,A350-1000ULR,Ultra-long-haul twin,Wide Body,2026,2027,"In Production, Entry into Service Soon",2,3-class,238,322,155.7,,,9700,17964,43100,5700,7125,23.95,29.94,12,0,12,0, , ,Airbus A350 family specifications,Historical/current industry data,No established public EIS or separate list price; treat as provisional dataset entry,,,,,
Airbus,A380,A380-800,Four-engine very-large aircraft,Very Large Wide Body,1990,2007,Ceased,4,4-class,545,575,276.8,,,8000,14816,43000,12000,15000,22.02,27.52,251,251,0,100,445.6,2018,Airbus A380 specifications,Airbus 2018 average list prices,575 t MTOW configuration; Airbus reports 251 deliveries,,,,,
Airbus,A220,A220-100,New-generation narrowbody twin,Narrow Body,2008,2016,Ceased,2,2-class,120,63.7,35.2,,,3600,6667,41000,1850,2312.5,15.42,19.27,108,75,33,69.44,81,2018,Airbus A220-100 specifications,Airbus 2018 average list prices,"Typical 2-class seating selected as 120 from Airbus 100-120 range; 3,600 nm current published range; MTOW 63.7 t; OWE 35.2 t; fuel-flow values are representative estimates",,,,,
Airbus,A220,A220-300,New-generation narrowbody twin,Narrow Body,2008,2016,In Production,2,2-class,140,70.9,37.1,,,3400,6297,41000,2050,2562.5,14.64,18.3,998,457,541,45.79,91.5,2018,Airbus A220-300 specifications,Airbus 2018 average list prices,"Typical 2-class seating selected as 140 from Airbus 120-150 range; 3,400 nm current published range; MTOW 70.9 t; OWE 37.1 t; fuel-flow values are representative estimates",,,,,
Airbus,A319,A319-100,Previous-generation narrowbody twin,Narrow Body,1993,1996,Ceased,2,2-class,124,75.5,42.6,,,3700,6852,39800,2400,3000,19.35,24.19,1486,1484,2,99.87,92.3,2018,Airbus A319 historical/A320 Family specifications,Airbus 2018 average list prices,A319ceo; typical 124-seat configuration; 2018 Airbus list price; 75.5 t high-weight configuration; fuel-flow values are representative estimates,,,,,
Airbus,A319,A319neo,New-generation narrowbody twin,Narrow Body,2010,2019,In Production,2,2-class,140,75.5,42.6,,,3700,6852,39800,2150,2687.5,15.36,19.2,58,43,15,74.14,101.5,2018,Airbus A319neo specifications,Airbus 2018 average list prices,"Typical 2-class seating selected as 140 from Airbus 120-150 range; 3,700 nm published range; 75.5 t MTOW; 2018 list price; fuel-flow values are representative estimates",,,,,
Airbus,A320,A320-100,Previous-generation narrowbody twin,Narrow Body,1984,1988,Ceased,2,2-class,150,73.5,42.2,,,2800,5186,39000,2500,3125,16.67,20.83,21,21,0,100,,,Airbus A320 historical specifications,Historical industry data,Early A320ceo variant; A320-100 predecessor to the longer-range A320-200 configuration; historical list price not consistently documented; fuel-flow values are representative estimates,,,,,
Airbus,A320,A320ceo,Previous-generation narrowbody twin,Narrow Body,1984,1988,Ceased,2,2-class,150,78,42.6,,,3300,6112,39800,2500,3125,16.67,20.83,4760,4760,0,100,101,2018,Airbus A320 Family historical specifications,Airbus 2018 average list prices,Standard A320ceo; typical 2-class configuration,,,,,
Airbus,A320,A320neo,New-generation narrowbody twin,Narrow Body,2010,2016,In Production,2,2-class,165,79,44,,,3500,6482,39800,2200,2750,13.33,16.67,10000,5000,5000,50,110.6,2018,Airbus A320neo specifications,Airbus 2018 average list prices,Standard A320neo; typical 2-class configuration,,,,,
Airbus,A320,A321LR,New-generation narrowbody twin,Narrow Body,2015,2018,Ceased,2,2-class,206,97,50.4,,,4000,7408,41000,2500,3125,12.14,15.17,132,86,46,65.15,129.5,2018,Airbus A321LR specifications,Airbus 2018 average list prices,"Long Range variant; 4,000 nm published range; based on A321neo family",,,,,
Airbus,A320,A321XLR,New-generation narrowbody twin,Narrow Body,2019,2024,In Production,2,2-class,206,101,50.4,,,4700,8704,41000,2500,3125,12.14,15.17,680,0,680,0,129.5,2018,Airbus A321XLR specifications,Airbus 2018 average list prices,"Extra Long Range variant; 4,700 nm published design range; commercial service began in 2024",,,,,
Boeing,747,747-100,Four-engine,Wide Body,1966,1970,Ceased,4,3-class,366,333,162.4,,,5300,9824,45000,9500,11875,25.96,32.51,250,250,0,100,, ,Boeing historical 747 specifications,Historical industry data,Historical list price not consistently documented,,,,,
Boeing,747,747SP,Four-engine long-range,Wide Body,1973,1976,Ceased,4,3-class,331,316,151.3,,,5830,10791,45000,9200,11500,27.79,34.74,45,45,0,100,, ,Boeing historical 747 specifications,Historical industry data,Historical list price not consistently documented,,,,,
Boeing,747,747-200B,Four-engine,Wide Body,1968,1971,Ceased,4,3-class,366,377,174,,,6580,12186,45000,9800,12250,26.78,33.47,393,393,0,100,, ,Boeing historical 747 specifications,Historical industry data,Historical list price not consistently documented,,,,,
Boeing,747,747-300,Four-engine,Wide Body,1980,1983,Ceased,4,3-class,400,377,178.8,,,6250,11575,45000,9800,12250,24.5,30.63,81,81,0,100,, ,Boeing historical 747 specifications,Historical industry data,Historical list price not consistently documented,,,,,
Boeing,747,747-400,Four-engine,Wide Body,1985,1989,Ceased,4,3-class,416,397,184.6,,,7465,13825,45100,10000,12500,24.04,30.05,694,694,0,100,, ,Boeing historical 747 specifications,Historical industry data,Historical list price not consistently documented,,,,,
Boeing,747,747-400D,High-density four-engine,Wide Body,1991,1991,Ceased,4,2-class,568,397,178.8,,,3850,7130,45100,10000,12500,17.61,22.01,19,19,0,100,, ,Boeing historical 747 specifications,Historical industry data,High-density domestic configuration,,,,,
Boeing,747,747-8I,Four-engine,Wide Body,2005,2012,Ceased,4,3-class,467,448,220.1,,,7305,13525,43100,10200,12750,21.84,27.3,47,47,0,100,402.9,2018,Boeing historical 747-8 specifications,Historical Boeing list prices,2018 list price used,,,,,
Boeing,777,777-200,Previous-generation twin,Wide Body,1990,1995,Ceased,2,3-class,305,247,139.2,,,5240,9704,43100,6500,8125,21.31,26.64,88,88,0,100,, ,Boeing historical 777 specifications,Historical industry data,Historical list price not consistently documented,,,,,
Boeing,777,777-200ER,Previous-generation long-range twin,Wide Body,1996,1997,Ceased,2,3-class,305,297.6,139.2,,,7500,13890,43100,7200,9000,23.61,29.51,422,422,0,100,295.2,2018,Boeing 777 specifications,Historical Boeing list prices,2018 list price,,,,,
Boeing,777,777-200LR,Ultra-long-haul twin,Wide Body,2000,2006,Ceased,2,3-class,301,347.5,145.2,,,8500,15742,43100,7500,9375,24.92,31.15,61,61,0,100,334,2018,Boeing 777 specifications,Historical Boeing list prices,2018 list price,,,,,
Boeing,777,777-300,High-capacity twin,Wide Body,1995,1998,Ceased,2,3-class,368,299.4,160.5,,,6005,11121,43100,7300,9125,19.84,24.8,60,60,0,100,, ,Boeing historical 777 specifications,Historical industry data,Historical list price not consistently documented,,,,,
Boeing,777,777-300ER,High-capacity long-range twin,Wide Body,2000,2004,Ceased,2,3-class,365,351.5,167.8,,,7370,13643,43100,7800,9750,21.37,26.71,838,833,5,99.4,361.5,2018,Boeing 777 specifications,Historical Boeing list prices,"2018 list price; Boeing currently quotes 7,500 nm / 13,890 km",,,,,
Boeing,777,777-8,777X ultra-long-range,Wide Body,2013,2027,"In Production, Entry into Service Soon",2,3-class,350,365.1,,,,9500,17594,43000,7300,9125,20.86,26.07,35,0,35,0,394.9,2018,Boeing 777X specifications,Historical Boeing list prices,Pre-delivery 777X variant; empty weight not yet treated as final certified value,,,,,
Boeing,777,777-9,777X high-capacity,Wide Body,2013,2027,"In Production, Entry into Service Soon",2,3-class,357,351.5,,,,8000,14816,43000,7000,8750,19.61,24.51,521,0,521,0,425.8,2018,Boeing 777X specifications,Historical Boeing list prices,Pre-delivery 777X variant; empty weight not yet treated as final certified value,,,,,
Boeing,787,787-8,New-generation twin,Wide Body,2004,2011,In Production,2,2-class,242,227.93,119.95,,,8000,14816,43000,4900,6125,20.25,25.31,424,399,25,94.1,239,2018,Boeing 787 specifications,Historical Boeing list prices,"Boeing current published range is up to 8,000 nm / 14,820 km",,,,,
Boeing,787,787-9,New-generation twin,Wide Body,2004,2014,In Production,2,2-class,280,259.22,128.9,,,8300,15372,43000,5400,6750,19.29,24.11,1453,725,728,49.9,281.6,2018,Boeing 787 specifications,Historical Boeing list prices,Boeing has certified increased MTOW options in 2026,,,,,
Boeing,767,767-200ER,Previous-generation widebody twin,Wide Body,1978,1984,Ceased,2,2-class,216,179.2,90,,,6350,11760,43100,5200,6500,24.07,30.09,121,121,0,100,, ,Boeing 767 historical specifications,Historical Boeing industry data,Extended-range widebody; substantially heavier and wider than A321XLR,,,,,
Boeing,767,767-300ER,Previous-generation widebody twin,Wide Body,1986,1988,Ceased,2,2-class,261,186.9,90,,,5980,11075,43100,5300,6625,20.31,25.39,583,583,0,100,, ,Boeing 767-300 specifications,Historical Boeing industry data,"High-capacity widebody; Boeing data lists 261 mixed-class seats and up to 350,000 lb / 158.8 t MTOW",,,,,
Boeing,767,767-400ER,Previous-generation widebody twin,Wide Body,1997,2000,Ceased,2,2-class,304,204.1,103,,,5625,10421,43100,5600,7000,18.42,23.03,38,38,0,100,, ,Boeing 767-400ER specifications,Historical Boeing industry data,Largest passenger 767 variant; significantly higher capacity and MTOW than A321XLR,,,,,
Boeing,717,717-200,Previous-generation narrowbody twin,Regional Jet,1995,1999,Ceased,2,2-class,106,54.9,30.7,,,2060,3815,37000,2600,3250,24.53,30.66,156,156,0,100,, ,Boeing 717-200 historical specifications,Historical Boeing industry data,"Boeing published two-class configuration of 106 seats; 2,060 nm design range with optional tanks; production ended after 156 aircraft; historical list price not consistently documented; fuel-flow values are representative estimates",,,,,
Boeing,737,737-100,Original narrowbody twin,Narrow Body,1965,1968,Ceased,2,2-class,85,49.895,26.581,,,1500,2778,35000,2500,3125,29.41,36.76,30,30,0,100,,,Boeing 737 historical specifications,Historical industry data,"Original 737; 85-seat two-class configuration; 1,500 nm range; historical list price not consistently documented; fuel-flow values are representative estimates",,,,,
Boeing,737,737-200,Original narrowbody twin,Narrow Body,1965,1968,Ceased,2,2-class,110,52.39,29.438,,,1200,2222,37000,2700,3375,24.55,30.68,991,991,0,100,,,Boeing 737 historical specifications,Historical industry data,Original 737; 110-seat two-class configuration; standard passenger 737-200 series; historical list price not consistently documented; fuel-flow values are representative estimates,,,,,
Boeing,737,737-300,Classic narrowbody twin,Narrow Body,1979,1984,Ceased,2,2-class,128,56.47,31.615,,,1600,2963,37000,2600,3250,20.31,25.39,1113,1113,0,100,,,Boeing 737 Classic specifications,Historical industry data,737 Classic; typical 128-seat two-class configuration; historical list price not consistently documented; fuel-flow values are representative estimates,,,,,
Boeing,737,737-400,Classic narrowbody twin,Narrow Body,1985,1988,Ceased,2,2-class,146,62.82,34.564,,,2100,3889,37000,2800,3500,19.18,23.97,486,486,0,100,,,Boeing 737 Classic specifications,Historical industry data,737 Classic; typical 146-seat two-class configuration; historical list price not consistently documented; fuel-flow values are representative estimates,,,,,
Boeing,737,737-500,Classic narrowbody twin,Narrow Body,1987,1990,Ceased,2,2-class,108,60.555,31.312,,,1600,2963,37000,2500,3125,23.15,28.94,389,389,0,100,,,Boeing 737 Classic specifications,Historical industry data,737 Classic; shortened 737-200 replacement; typical 108-seat two-class configuration; historical list price not consistently documented; fuel-flow values are representative estimates,,,,,
Boeing,737,737-600,Next-generation narrowbody twin,Narrow Body,1993,1998,Ceased,2,2-class,108,65.544,36.378,,,3200,5926,41000,2200,2750,20.37,25.46,69,69,0,100,,,Boeing 737 Next Generation specifications,Historical Boeing industry data,737 Next Generation; typical 108-seat two-class configuration; 69 aircraft delivered; fuel-flow values are representative estimates,,,,,
Boeing,737,737-700,Next-generation narrowbody twin,Narrow Body,1993,1997,Ceased,2,2-class,128,70.08,37.648,,,2900,5371,41000,2300,2875,17.97,22.46,1130,1128,2,99.82,85.8,2018,Boeing 737 Next Generation specifications,Boeing 2018 average list prices,737 Next Generation; typical 128-seat two-class configuration; 2018 Boeing list price,,,,,
Boeing,737,737-700ER,Next-generation narrowbody twin,Narrow Body,2006,2007,Ceased,2,2-class,126,77.56,40.99,,,5775,10695,41000,2300,2875,18.25,22.82,2,2,0,100,,,Boeing 737-700ER specifications,Historical Boeing industry data,"Extended Range 737NG derivative; 126-seat two-class configuration; up to 5,775 nm with nine auxiliary fuel tanks; only two commercial aircraft built; fuel-flow values are representative estimates",,,,,
Boeing,737,737-800,Next-generation narrowbody twin,Narrow Body,1994,1998,Ceased,2,2-class,177,79.016,41.413,,,2800,5186,41000,2500,3125,14.12,17.66,4991,4989,2,99.96,102.2,2018,Boeing 737 Next Generation specifications,Boeing 2018 average list prices,737 Next Generation; typical 177-seat two-class configuration; 2018 Boeing list price,,,,,
Boeing,737,737-900,Next-generation narrowbody twin,Narrow Body,1997,2001,Ceased,2,2-class,177,85.13,44.677,,,2700,5000,41000,2600,3250,14.69,18.36,52,52,0,100,,,Boeing 737 Next Generation specifications,Historical Boeing industry data,737 Next Generation; original 737-900 before 900ER; typical two-class configuration; historical list price not consistently documented; fuel-flow values are representative estimates,,,,,
Boeing,737,737-900ER,Previous-generation narrowbody twin,Narrow Body,2005,2007,Ceased,2,2-class,180,85.14,42.7,,,3275,6067,41000,2400,3000,13.33,16.67,505,505,0,100,101.1,2018,Boeing 737 Next Generation specifications,Historical Boeing list prices,Largest 737 Next Generation variant; maximum seating can exceed typical 2-class configuration,,,,,
